00ALIMENTOS15-04-2021 00:06:2801;;;;;;;;;;;;
ID_CORPO;ID_ALIMENTO;NOME;PORÇÃO;CALORIAS;COLESTEROL;CARBOIDRATO;FIBRA;CALCIO;FERRO;SODIO;PROTEINA;CATEGORIA_ID
2;297;Uva rubi                                     ;100;49,06;0;12,69;0,93;7,61;0,17;7,91;0,6;3
2;298;Suco de uva concentrado envasado             ;100;57,65;0;14,7;0,23;9,31;0,12;9,58;0;3
2;299;Azeite de dendê                              ;100;884;0;0;0;0;0;0;0;4
2;300;Azeite de oliva extra virgem                 ;100;884;0;0;0;0;0;0;0;4
2;301;Manteiga com sal                             ;100;725,96;200,55;0,06;0;9,42;0,15;578,69;0,41;4
2;302;Manteiga sem sal                             ;100;757,54;213,95;0;0;3,6;0;3,84;0,39;4
2;303;Margarina com óleo hidrogenado com sal       ;100;596,11;0;0;0;5,55;0,08;894,03;0;4
2;304;Margarina com óleo hidrogenado sem sal       ;100;722,52;0;0;0;2,59;0,05;77,89;0;4
2;305;Margarina com óleo interesterificado com sal ;100;594,45;0;0;0;4,54;0;560,79;0;4
2;306;Margina com óleo interesterificado sem sal   ;100;593,13;0;0;0;4,96;0,07;33,19;0;4
2;307;Óleo de babaçu                               ;100;884;0;0;0;0;0;0;0;4
2;346;Óleo de canola                               ;100;884;0;0;0;0;0;0;0;4
2;347;Óleo de girassol                             ;100;884;0;0;0;0;0;0;0;4
2;348;Óleo de milho                                ;100;884;0;0;0;0;0;0;0;4
2;349;Óleo de pequi                                ;100;884;0;0;0;0;0;0;0;4
2;350;Óleo de soja                                 ;100;884;0;0;0;0;0;0;0;4
2;379;Filé de abadejo assado                       ;100;111,61;102,79;0;0;22,6;0,52;334,39;23,52;5
2;380;Filé de abadejo cozido                       ;100;91,1;86,86;0;0;16,73;0,32;189,33;19,34;5
2;381;Filé de abadejo cru                          ;100;59,11;31,4;0;0;10,17;0,1;78,51;13,08;5
2;382;Filé de abadejo grelhado                     ;100;129,64;135,85;0;0;20,17;0,32;305,09;27,61;5
2;383;Atum em conversa em óleo                     ;100;165,91;52,93;0;0;6,51;1,22;362,14;26,18;5
2;384;Atum fresco cru                              ;100;117,5;47,8;0;0;6,69;1,27;30,3;25,68;5
2;385;Bacalhau salgado cru                         ;100;135,89;138,88;0;0;156,96;0,85;13585,05;29,03;5
2;386;Bacalhau salgado refogado                    ;100;139,66;111,96;1,22;0;59,12;0,15;1256,27;23,97;5
